บาง	b-aa-ng^-0|
ร้อยละ	r-@@-j^-3|l-a-z^-3|
เทพ	th-ee-p^-2|
ก๋าวิละ	k-aa-z^-4|w-i-z^-3|l-a-z^-3|
บิดา	b-i-z^-1|d-aa-z^-0|
วรรณราตรี	w-a-n^-0|n-a-z^-3|r-aa-z^-0|tr-ii-z^-0|
ยื่น	j-vv-n^-2|
ร้อง	r-@@-ng^-3|
ศาล	s-aa-n^-4|
ถาม	th-aa-m^-4|
ทราบ	s-aa-p^-2|
บี๋	b-ii-z^-4|
สวิช	s-a-z^-1|w-i-t^-3|
กำลัง	k-a-m^-0|l-a-ng^-0|
ถ่าย	th-aa-j^-1|
ละคร	l-a-z^-3|kh-@@-n^-0|
ดัง	d-a-ng^-0|
เอก	z-ee-k^-1|
หน้าที่	n-aa-z^-2|th-ii-z^-2|
ยิ้ม	j-i-m^-3|
แย้ม	j-xx-m^-3|
โดน	d-oo-n^-0|
ตะปู	t-a-z^-1|p-uu-z^-0|
ตำ	t-a-m^-0|
กางเกงใน	k-aa-ng^-0|k-ee-ng^-0|n-a-j^-0|
หม่อม	m-@@-m^-1|
หวั่น	w-a-n^-1|
เงิน	ng-qq-n^-0|
ลบ	l-o-p^-3|
เจริญ	c-a-z^-1|r-qq-n^-0|
รอย	r-@@-j^-0|
ญี่ปุ่น	j-ii-z^-2|p-u-n^-1|
ฝืด	f-vv-t^-1|
ดู	d-uu-z^-0|
รวด	r-uua-t^-2|
เร็ว	r-e-w^-0|
สินค้า	s-i-n^-4|kh-aa-z^-3|
เฮาส์	h-a-w^-3|
แบรนด์	br-xx-n^-0|
เจอ	c-qq-z^-0|
สิทธิ	s-i-t^-1|
บัตร	b-a-t^-1|
สบ	s-o-p^-1|
เล่น	l-ee-n^-2|
ยักษ์	j-a-k^-3|
ค้า	kh-aa-z^-3|
ปลีก	pl-ii-k^-1|
ลวง	l-uua-ng^-0|
ฆ่า	kh-aa-z^-2|
ประจาน	pr-a-z^-1|c-aa-n^-0|
ถล่ม	th-a-z^-1|l-o-m^-1|
เละ	l-e-z^-3|
บ้า	b-aa-z^-2|
โจร	c-oo-n^-0|
กรุง	kr-u-ng^-0|
ยอด	j-@@-t^-2|
แสบ	s-xx-p^-1|
ปล้น	pl-o-n^-2|
เปลือย	pl-vva-j^-0|
แท็กซี่	th-x-k^-3|s-ii-z^-2|
เหยื่อ	j-vva-z^-1|
ฟุตบอล	f-u-t^-3|b-@@-l^-0|
เช่า	ch-a-w^-2|
ไว้	w-a-j^-3|
ฟลอร์	fl-@@-z^-0|
เตะ	t-e-z^-1|
เปรมศักดิ์	pr-ee-m^-0|s-a-k^-1|
คณะ	kh-a-z^-0|n-a-z^-3|
กรรมาธิการ	k-a-m^-0|m-aa-z^-0|th-i-z^-3|k-aa-n^-0|
เดินทาง	d-qq-n^-0|th-aa-ng^-0|
สำรวจ	s-a-m^-4|r-uua-t^-2|
กึ้ด	k-v-t^-2|
ช้าง	ch-aa-ng^-3|
หก	h-o-k^-1|
เลข	l-ee-k^-2|
ทับ	th-a-p^-3|
แปด	p-xx-t^-1|
หมู่บ้าน	m-uu-z^-1|b-aa-n^-2|
สรร	s-a-n^-4|
เมเปิ้ล	m-ee-z^-0|p-qq-l^-2|
ลีฟ	l-ii-f^-3|
ตำบล	t-a-m^-0|b-o-n^-0|
บ่อ	b-@@-z^-1|
ผุด	ph-u-t^-1|
แรก	r-xx-k^-2|
เขียว	kh-iia-w^-4|
ไอร์แลนด์	z-a-j^-0|l-xx-n^-0|
ปะทะ	p-a-z^-1|th-a-z^-3|
หมอ	m-@@-z^-4|
ผี	ph-ii-z^-4|
แคเมอรูน	kh-xx-z^-0|m-qq-z^-0|r-uu-n^-0|
สนาม	s-a-z^-1|n-aa-m^-4|
นึงะตะ	n-v-z^-3|ng-a-z^-3|t-a-z^-1|
สเตเดียม	s-a-z^-1|t-ee-z^-0|d-iia-m^-2|
วิ่ง	w-i-ng^-2|
ป้อม	p-@@-m^-2|
ตำรวจ	t-a-m^-0|r-uua-t^-2|
โท	th-oo-z^-0|
เสน่ห์	s-a-z^-1|n-ee-z^-1|
ฟุบ	f-u-p^-3|
นิ่ง	n-i-ng^-2|
คา	kh-aa-z^-0|
ตาย	t-aa-j^-0|
ธุรกิจ	th-u-z^-3|r-a-z^-3|k-i-z^-1|
พลาสติก	phl-aa-t^-3|s-a-z^-0|t-i-k^-1|
รวบ	r-uua-p^-2|
โจ๋แก๊ง	c-oo-z^-4|k-xx-ng^-3|
โหด	h-oo-t^-1|
ปาด	p-aa-t^-1|
คอ	kh-@@-z^-0|
นักศึกษา	n-a-k^-3|s-v-k^-1|s-aa-z^-4|
อริ	z-a-z^-1|r-i-z^-1|
ตรา	tr-aa-z^-0|
ไก่	k-a-j^-1|
ไร้	r-a-j^-3|
ซี	s-ii-z^-0|
ดาน	d-aa-n^-0|
ปึ้ก	p-v-k^-2|
ฟรองค์	fr-@@-ng^-0|
เลอ	l-qq-z^-0|
เบิฟ	b-qq-f^-1|
แพร	phr-xx-z^-0|
โผ	ph-oo-z^-4|
กอด	k-@@-t^-1|
ใจ	c-a-j^-0|
ลูก	l-uu-k^-2|
คืน	kh-vv-n^-0|
กลับ	kl-a-p^-1|
อ้อม	z-@@-m^-2|
อก	z-o-k^-1|
ยิ่ง	j-i-ng^-2|
ดึก	d-v-k^-1|
ขลัง	khl-a-ng^-4|
พยายาม	ph-a-z^-0|j-aa-z^-0|j-aa-m^-0|
สะดวก	s-a-z^-1|d-uua-k^-1|
เต็ม	t-e-m^-0|
มุม	m-u-m^-0|
อ้วน	z-uua-n^-2|
มอง	m-@@-ng^-0|
ก๋ากั่น	k-aa-z^-4|k-a-n^-1|
ชวน	ch-uua-n^-0|
ดึง	d-v-ng^-0|
ดูด	d-uu-t^-1|
เกรอะ	kr-q-z^-1|
ผัสพร	ph-a-t^-1|s-a-z^-0|ph-@@-n^-0|
ปิโตรเลียม	p-i-z^-1|tr-oo-z^-0|l-iia-m^-0|
ผวา	ph-a-z^-1|w-aa-z^-4|
ตั๋ว	t-uua-z^-4|
น้ำมัน	n-a-m^-3|m-a-n^-0|
จ๊อบ	c-@@-p^-3|
เบอร์	b-qq-z^-0|
เดี้ยง	d-iia-ng^-2|
ชวนศรี	ch-uua-n^-0|s-ii-z^-4|
ออยล์	z-@@-j^-0|
บี	b-ii-z^-0|
อี	z-ii-z^-0|
ปลด	pl-o-t^-1|
ขับ	kh-a-p^-1|
ขี่	kh-ii-z^-1|
ยวด	j-uua-t^-2|
ยาน	j-aa-n^-0|
อาจ	z-aa-t^-1|
พลั้ง	phl-a-ng^-3|
อุบัติเหตุ	z-u-z^-1|b-a-t^-1|t-i-z^-1|h-ee-t^-1|
ธเนศ	th-a-z^-3|n-ee-t^-2|
สติ	s-a-z^-1|t-i-z^-1|
ผึง	ph-v-ng^-4|
กวาด	kw-aa-t^-1|
เท้า	th-a-w^-3|
ก้าน	k-aa-n^-2|
ลำเค็ญ	l-a-m^-0|kh-e-n^-0|
พลั่ก	phl-a-k^-2|
หลวง	l-uua-ng^-4|
ปู่	p-uu-z^-1|
ตุ๋ย	t-u-j^-4|
ตบ	t-o-p^-1|
ก้าว	k-aa-w^-2|
ร้าว	r-aa-w^-3|
สมควร	s-o-m^-4|kh-uua-n^-0|
ตรง	tr-o-ng^-0|
บอก	b-@@-k^-1|
คุย	kh-u-j^-0|
หน่อย	n-@@-j^-1|
อยาก	j-aa-k^-1|
คะแนน	kh-a-z^-3|n-xx-n^-0|
ช่า	ch-aa-z^-2|
หนังสือ	n-a-ng^-4|s-vv-z^-4|
ตอน	t-@@-n^-0|
นิตยสาร	n-i-t^-3|t-a-z^-1|j-a-z^-3|s-aa-n^-4|
เล่ม	l-ee-m^-3|
นำ	n-a-m^-0|
เสนอ	s-a-z^-1|n-qq-z^-4|
โจ๋ง	c-oo-ng^-4|
ครึ่ม	khr-v-m^-2|
หยิบ	j-i-p^-1|
พูด	ph-uu-t^-2|
ใหญ่	j-a-j^-1|
ปัญหา	p-a-n^-0|h-aa-z^-4|
ครอบ	khr-@@-p^-2|
ครัว	khr-uua-z^-0|
ค่า	kh-aa-z^-2|
นิยม	n-i-z^-3|j-o-m^-0|
เพื่อน	ph-vva-n^-2|
ฝูง	f-uu-ng^-4|
ฟุ้ง	f-u-ng^-3|
ชัก	ch-a-k^-3|
จูง	c-uu-ng^-0|
พิธีกร	ph-i-z^-3|th-ii-z^-0|k-@@-n^-0|
นัย	n-a-j^-0|
หมด	m-o-t^-1|
เบรน	br-ee-n^-0|
เล็ก	l-e-k^-3|
อย่า	j-aa-z^-1|
สบาย	s-a-z^-1|b-aa-j^-0|
หัน	h-a-n^-4|
หลง	l-o-ng^-4|
ศิลปะ	s-i-n^-4|l-a-z^-3|p-a-z^-1|
บน	b-o-n^-0|
เปลือก	pl-vva-k^-1|
ไข่	kh-a-j^-1|
เอกลักษณ์	z-ee-k^-1|k-a-z^-0|l-a-k^-3|
เอง	z-ee-ng^-0|
แฉ	ch-xx-z^-4|
พ่อ	ph-@@-z^-2|
เขมร	kh-a-z^-1|m-ee-n^-4|
ปลูก	pl-uu-k^-1|
หอม	h-@@-m^-4|
มะลิ	m-a-z^-3|l-i-z^-3|
อ้าง	z-aa-ng^-2|
หงอย	ng-@@-j^-4|
เบน	b-ee-n^-0|
แบรดชอว์	br-xx-t^-3|ch-@@-z^-0|
ช่วย	ch-uua-j^-2|
อังกฤษ	z-a-ng^-0|kr-i-t^-1|
ผ่าน	ph-aa-n^-1|
วิทยุ	w-i-t^-3|th-a-z^-3|j-u-z^-3|
ไม้	m-a-j^-3|
ริม	r-i-m^-0|
รั้ว	r-uua-z^-3|
ฝีมือ	f-ii-z^-4|m-vv-z^-0|
รุ่น	r-u-n^-2|
อะไร	z-a-z^-1|r-a-j^-0|
มนุษย์	m-a-z^-3|n-u-t^-3|
สุวิมล	s-u-z^-1|w-i-z^-3|m-o-n^-0|
ศิริชาติ	s-i-z^-1|r-i-z^-2|ch-aa-t^-2|
ครู	khr-uu-z^-0|
ชั้น	ch-a-n^-3|
ประกาศ	pr-a-z^-1|k-aa-t^-1|
เอนจอยเวิร์ด	z-ee-n^-0|c-@@-j^-0|w-qq-t^-1|
เกม	k-ee-m^-0|
พัฒนา	ph-a-t^-3|th-a-z^-0|n-aa-z^-0|
สแครปเบิ้ล	s-a-z^-1|khr-xx-p^-3|b-qq-l^-2|
อเมริกัน	z-a-z^-0|m-ee-z^-0|r-i-z^-0|k-a-n^-0|
ประดิษฐ์	pr-a-z^-1|d-i-t^-1|
แอนดริว	z-xx-n^-0|dr-i-w^-0|
เกรกสัน	kr-ee-k^-0|s-a-n^-4|
รื้อ	r-vv-z^-3|
ป้าย	p-aa-j^-2|
ขุด	kh-u-t^-1|
คลอง	khl-@@-ng^-0|
ติว	t-i-w^-0|
ข้าราชการ	kh-aa-z^-2|r-aa-t^-2|ch-a-z^-3|k-aa-n^-0|
ระวัง	r-a-z^-3|w-a-ng^-0|
งบ	ng-o-p^-3|
แปร	pr-xx-z^-0|
ญัตติ	j-a-t^-3|t-i-z^-1|
ท่าน	th-aa-n^-2|
รู้สึก	r-uu-z^-3|s-v-k^-1|
ว้าเหว่	w-aa-z^-3|w-ee-z^-1|
ดาย	d-aa-j^-0|
มิคาเอล	m-i-z^-3|kh-aa-z^-0|z-ee-l^-0|
ซิลแวสตร์	s-i-l^-0|w-xx-s^-2|
เชียร์	ch-iia-z^-0|
ฟรีคิก	fr-ii-z^-0|kh-i-k^-3|
หล่อ	l-@@-z^-1|
เบคแคม	b-ee-k^-3|kh-xx-m^-2|
จะจะ	c-a-z^-1|c-a-z^-1|
ยอร์ก	j-@@-k^-3|
เบิ้ล	b-qq-l^-2|
บอล	b-@@-l^-0|
คีน	kh-ii-n^-0|
พรรษา	ph-a-n^-0|s-aa-z^-4|
บล็อก	bl-@-k^-3|
ถัด	th-a-t^-1|
บัตต์	b-a-t^-1|
ลอง	l-@@-ng^-0|
ไกล	kl-a-j^-0|
ข้าม	kh-aa-m^-2|
คาน	kh-aa-n^-0|
มีด	m-ii-t^-2|
เปื้อน	p-vva-n^-2|
ขนาด	kh-a-z^-1|n-aa-t^-1|
ฟุต	f-u-t^-3|
ปอก	p-@@-k^-1|
นิ้ว	n-i-w^-3|
เปรอะ	pr-q-z^-1|
จำนวน	c-a-m^-0|n-uua-n^-0|
สเกต	s-a-z^-0|k-ee-t^-3|
โรลเลอร์เบลด	r-oo-l^-0|l-qq-z^-2|bl-ee-t^-1|
สมทรง	s-o-m^-4|s-o-ng^-0|
เผือนงูเหลือม	ph-vva-n^-4|ng-uu-z^-0|l-vva-m^-4|
นิติกร	n-i-z^-3|t-i-z^-1|k-@@-n^-0|
สำนัก	s-a-m^-4|n-a-k^-3|
สามัญ	s-aa-z^-4|m-a-n^-0|
นครราชสีมา	n-a-z^-3|kh-@@-n^-0|r-aa-t^-2|ch-a-z^-3|s-ii-z^-4|m-aa-z^-0|
ปลัด	p-a-z^-0|l-a-t^-1|
หนุ่ม	n-u-m^-1|
ก่อ	k-@@-z^-1|
เหตุ	h-ee-t^-1|
ต่อย	t-@@-j^-1|
แก่	k-xx-z^-1|
คลุก	khl-u-k^-3|
ฝุ่น	f-u-n^-1|
อำเภอ	z-a-m^-0|ph-qq-z^-0|
เจ่อ	c-qq-z^-1|
เย็บ	j-e-p^-3|
เข็ม	kh-e-m^-4|
เหี้ย	h-iia-z^-2|
สิง	s-i-ng^-4|
เลี้ยง	l-iia-ng^-3|
ทอง	th-@@-ng^-0|
หวี	w-ii-z^-4|
ลำ	l-a-m^-0|
ตัน	t-a-n^-0|
ลักษณะ	l-a-k^-3|s-a-z^-0|n-a-z^-1|
ปลี	pl-ii-z^-0|
ตูม	t-uu-m^-0|
คล้าย	khl-aa-j^-3|
บัว	b-uua-z^-0|
ไข	kh-a-j^-4|
โปรตีน	pr-oo-z^-0|t-ii-n^-0|
ต่ำ	t-a-m^-1|
มาตรฐาน	m-aa-t^-2|t-a-z^-0|th-aa-n^-4|
แลค	l-xx-k^-0|
โตส	t-oo-s^-3|
ปกติ	p-a-z^-1|k-a-z^-1|t-i-z^-1|
นี่	n-ii-z^-2|
แหละ	l-x-z^-1|
ผม	ph-o-m^-4|
ระดับ	r-a-z^-0|d-a-p^-1|
โปรเฟสชั่นแนล	pr-oo-z^-0|f-ee-s^-3|ch-a-n^-2|n-xx-l^-2|
จริง	c-i-ng^-0|
เซเนกัล	s-ee-z^-0|n-ee-z^-0|k-a-l^-2|
เพิ่ง	ph-qq-ng^-2|
รอบ	r-@@-p^-2|
ท้าย	th-aa-j^-3|
ดีกรี	d-ii-z^-0|kr-ii-z^-0|
แชมป์	ch-xx-m^-3|
บวก	b-uua-k^-1|
ประสบการณ์	pr-a-z^-1|s-o-p^-1|k-aa-n^-0|
ฝรั่งเศส	f-a-z^-3|r-a-ng^-1|s-ee-t^-1|
เหนือ	n-vva-z^-4|
กระบวน	kr-a-z^-1|b-uua-n^-0|
แห่	h-xx-z^-1|
ราคา	r-aa-z^-0|kh-aa-z^-0|
เอชเค	z-ee-ch^-3|kh-ee-z^-0|
เกราะ	kr-@-z^-1|
ควง	kh-uua-ng^-0|
ปืน	p-vv-n^-0|
แต่ง	t-xx-ng^-1|
รต	r-@@-z^-0|t-@@-z^-0|
แบงก์	b-x-ng^-3|
เขา	kh-a-w^-4|
เพียง	ph-iia-ng^-0|
กลิ๊ค	kl-i-k^-3|
สร้อย	s-@@-j^-2|
เปลี่ยน	pl-iia-n^-1|
มงกุฎ	m-o-ng^-0|k-u-t^-1|
เพชร	ph-e-t^-3|
เม็ด	m-e-t^-3|
เป้ง	p-ee-ng^-2|
ไขว้	khw-a-j^-2|
หนัก	n-a-k^-1|
ตั๊ก	t-a-k^-3|
แย่ง	j-xx-ng^-2|
เก็บ	k-e-p^-1|
หลบ	l-o-p^-1|
เลีย	l-iia-z^-0|
แฝง	f-xx-ng^-4|
เจิ้น	c-qq-n^-2|
เอา	z-a-w^-0|
ขลุก	khl-u-k^-1|
ร้าน	r-aa-n^-3|
เบาะ	b-@-z^-1|
แส	s-xx-z^-4|
สามารถ	s-a-z^-4|m-aa-t^-2|
เมล์	m-ee-z^-0|
แอ๊ด	z-xx-t^-3|
เดรส	dr-ee-s^-3|
ฉัตร	ch-a-t^-1|
ชัย	ch-a-j^-0|
งัด	ng-a-t^-3|
ปม	p-o-m^-0|
ส่วย	s-uua-j^-1|
เขี่ย	kh-iia-z^-1|
จิณาภา	c-i-z^-1|n-aa-z^-0|ph-aa-z^-0|
ทรัพย์วิสุทธิ์	s-a-p^-3|w-i-z^-3|s-u-t^-1|
เจ๊	c-ee-z^-3|
หย่ง	j-o-ng^-1|
อดีต	z-a-z^-1|d-ii-t^-1|
สภา	s-a-z^-0|ph-aa-z^-0|
กรุงเทพมหานคร	kr-u-ng^-0|th-ee-p^-2|m-a-z^-0|h-aa-z^-4|n-a-z^-3|kh-@@-n^-0|
ตำแหน่ง	t-a-m^-0|n-xx-ng^-1|
ต้น	t-o-n^-2|
เพลิง	phl-qq-ng^-0|
อีซา	z-ii-z^-0|s-aa-z^-0|
หะยีเจ๊ะฮะ	h-a-z^-1|j-ii-z^-0|c-e-z^-3|h-a-z^-3|
เจ้าหน้าที่	c-a-w^-2|n-aa-z^-2|th-ii-z^-2|
สาธารณสุข	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-a-z^-3|s-u-k^-1|
พญา	ph-a-z^-3|j-aa-z^-0|
ค่อย	kh-@@-j^-2|
กล้า	kl-aa-z^-2|
ละเอียด	l-a-z^-3|z-iia-t^-1|
ผู้สื่อข่าว	ph-uu-z^-2|s-vv-z^-1|kh-aa-w^-1|
พลุก	phl-u-k^-3|
ยิน	j-i-n^-0|
ดวง	d-uua-ng^-0|
เฉลิม	ch-a-z^-1|l-qq-m^-4|
แควก	khw-xx-k^-2|
ชายแดน	ch-aa-j^-0|d-xx-n^-0|
ภาค	ph-aa-k^-2|
ตัวแทน	t-uua-z^-0|th-xx-n^-0|
ผู้นำ	ph-uu-z^-2|n-a-m^-0|
ศาสนา	s-aa-t^-1|s-a-z^-1|n-aa-z^-4|
อิสลาม	z-i-t^-1|s-a-z^-1|l-aa-m^-0|
กอแระ	k-@@-z^-0|r-x-z^-1|
จำลอง	c-a-m^-0|l-@@-ng^-0|
เลอะ	l-q-z^-3|
เทอะ	th-q-z^-3|
ความจริง	khw-aa-m^-0|c-i-ng^-1|
เข้าใจ	kh-a-w^-2|c-a-j^-0|
ชาติ	ch-aa-t^-2|
บูเก๊ะ	b-uu-z^-0|k-e-z^-3|
ดอ	d-@@-z^-0|
หัวเข่า	h-uua-z^-4|kh-a-w^-1|
หน้าอก	n-aa-z^-2|z-o-k^-1|
กระสุน	kr-a-z^-1|s-u-n^-4|
ปัทมา	p-a-t^-1|th-a-z^-0|m-aa-z^-0|
ป้นโก๋	p-o-n^-2|k-oo-z^-4|
ไฟแช็ก	f-a-j^-0|ch-x-k^-3|
บุหรี่	b-u-z^-1|r-ii-z^-1|
คริสตัล	khr-i-s^-3|t-a-l^-2|
กร๊วก	kr-uua-k^-3|
สวย	s-uua-j^-4|
ตั้งแต่	t-a-ng^-2|t-xx-z^-1|
ผิว	ph-i-w^-4|
กล้าม	kl-aa-m^-2|
กระดูก	kr-a-z^-1|d-uu-k^-1|
อวัยวะ	z-a-z^-1|w-a-j^-0|j-a-z^-3|w-a-z^-3|
ภายใน	ph-aa-j^-0|n-a-j^-0|
แค่	kh-xx-z^-2|
สำอาง	s-a-m^-4|z-aa-ng^-0|
โปะ	p-o-z^-1|
ผ้า	ph-aa-z^-2|
ดอด	d-@@-t^-1|
กรึ๊บ	kr-v-p^-3|
เป้า	p-a-w^-2|
ปูน	p-uu-n^-0|
หลังคา	l-a-ng^-4|kh-aa-z^-0|
ลาดกระบัง	l-aa-t^-2|kr-a-z^-1|b-a-ng^-0|
ฮีโมฟิลุส	m-oo-z^-0|f-i-z^-0|l-u-s^-3|
กระจก	kr-a-z^-1|c-o-k^-1|
เจาะ	c-@-z^-1|
พรุน	phr-u-n^-0|
แตกร้าว	t-xx-k^-1|r-aa-w^-3|
บาน	b-aa-n^-0|
อุปกรณ์	z-u-p^-1|p-a-z^-0|k-@@-n^-0|
เทียบ	th-iia-p^-2|
สนับสนุน	s-a-z^-1|n-a-p^-1|s-a-z^-1|n-u-n^-4|
แนวคิด	n-xx-w^-0|kh-i-t^-3|
ฮิรูฮิโกะ	h-i-z^-3|r-uu-z^-0|h-i-z^-3|k-o-z^-1|
คุโรดะ	kh-u-z^-3|r-oo-z^-0|d-a-z^-1|
กองทัพ	k-@@-ng^-0|th-a-p^-3|
แบล็กเวอร์ชั่น	bl-x-k^-3|w-qq-z^-0|ch-a-n^-2|
โตโยต้า	t-oo-z^-0|j-oo-z^-0|t-aa-z^-2|
เชฟโรเลต	ch-ee-f^-3|r-oo-z^-0|l-ee-t^-1|
ยูธเอสเอส	j-uu-t^-3|z-ee-s^-3|z-ee-s^-3|
คุ้ม	kh-u-m^-3|
ประเภท	pr-a-z^-1|ph-ee-t^-2|
ขลุ่ย	khl-uu-j^-1|
โดยเฉพาะ	d-oo-j^-0|ch-a-z^-1|ph-@-w^-3|
แดนเซอร์	d-xx-n^-3|s-qq-z^-2|
ส่งเสียง	s-o-ng^-1|s-iia-ng^-4|
กรี๊ด	kr-ii-t^-3|
เท่	th-ee-z^-2|
ฉะนั้น	ch-a-z^-0|n-a-n^-3|
พี่	ph-ii-z^-2|
ประชาชน	pr-a-z^-1|ch-aa-z^-0|ch-o-n^-0|
ห่วง	h-uua-ng^-1|
เดี๋ยว	d-iia-w^-4|
สถาน	s-a-z^-1|th-aa-n^-4|
บันเทิง	b-a-n^-0|th-qq-ng^-0|
ดิสโก้เธค	d-i-s^-3|k-oo-z^-2|th-ee-k^-1|
บลูดิสโก	bl-uu-z^-0|d-i-s^-3|k-oo-z^-2|
เธค	th-ee-k^-1|
ถ้า	th-aa-z^-2|
รู้จัก	r-uu-z^-3|c-a-k^-1|
ฟุ่มเฟือย	f-u-m^-2|f-vva-j^-0|
ฟุ้งเฟ้อ	f-u-ng^-3|f-qq-z^-3|
โลภโมโทสัน	l-oo-p^-2|m-oo-z^-0|th-oo-z^-0|s-a-n^-4|
ซาเทิร์น	s-aa-z^-0|th-qq-n^-0|
เอเอฟเอส	z-ee-z^-0|z-ee-f^-1|z-ee-s^-3|
ชิเงมิตสึ	ch-i-z^-3|ng-ee-z^-0|m-i-t^-3|s-v-z^-1|
ซูงิซากิ	s-uu-z^-0|ng-i-z^-3|s-aa-z^-0|k-i-z^-1|
เจฟฟรี่	c-ee-f^-3|fr-ii-z^-2|
ไฟน์สโตน	f-a-j^-0|s-a-z^-0|t-oo-n^-0|
ภูมิใจ	ph-uu-m^-0|c-a-j^-0|
พอร์ซเลน	ph-@@-t^-3|l-ee-n^-0|
ซ่อม	s-@@-m^-2|
เฉลี่ย	ch-a-z^-0|l-iia-z^-1|
สาขา	s-aa-z^-4|kh-aa-z^-4|
ถนน	th-a-z^-1|n-o-n^-4|
พัทยา	ph-a-t^-3|th-a-z^-3|j-aa-z^-0|
มินลิเคียฟมารัต	m-i-n^-0|l-i-z^-3|kh-iia-f^-3|m-aa-z^-0|r-a-t^-3|
เหล่า	l-a-w^-1|
ทัพ	th-a-p^-3|
แพร่	phr-xx-z^-2|
หวัด	w-a-t^-1|
ทุบ	th-u-p^-3|
อุกอาจ	z-u-k^-1|z-aa-t^-1|
เสี่ย	s-iia-z^-1|
ฮั้ว	h-uua-z^-3|
อ่าง	z-aa-ng^-1|
จิต	c-i-t^-1|
เอื้อเฟื้อ	z-vva-z^-2|f-vva-z^-3|
เผื่อแผ่	ph-vva-z^-1|ph-xx-z^-1|
บุคคล	b-u-k^-1|kh-o-n^-0|
สภาพ	s-a-z^-0|ph-aa-p^-2|
ขวัญ	khw-a-n^-4|
กู้	k-uu-z^-2|
พรวด	phr-uua-t^-2|
พรีเซ็นเตอร์	phr-ii-z^-0|s-e-n^-0|t-qq-z^-0|
ขาย	kh-aa-j^-4|
ตลาด	t-a-z^-0|l-aa-t^-1|
กระทิง	kr-a-z^-1|th-i-ng^-0|
แดง	d-xx-ng^-0|
เรดบลู	r-ee-t^-2|bl-uu-z^-0|
แซนด์วิชทูน่า	s-xx-n^-0|w-i-ch^-3|th-uu-z^-0|n-aa-z^-2|
ห้วยเสี้ยว	h-uua-j^-2|s-iia-w^-2|
น้ำแพร่	n-a-m^-3|phr-xx-z^-2|
รุด	r-u-t^-3|
จุ๋ม	c-u-m^-4|
แผ่น	ph-xx-n^-1|
ถุง	th-u-ng^-4|
ดำ	d-a-m^-0|
ใบ	b-a-j^-0|
แยก	j-xx-k^-2|
ปลอก	pl-@@-k^-1|
คุม	kh-u-m^-0|
เงื้อ	ng-vva-z^-3|
ยุค	j-u-k^-3|
เคือง	kh-vva-ng^-0|
พาณิชย์	ph-aa-z^-0|n-i-t^-3|
เกษตร	k-a-z^-1|s-ee-t^-1|
รูด	r-uu-t^-2|
ทะยาน	th-a-z^-3|j-aa-n^-0|
คง	kh-o-ng^-0|
คาด	kh-aa-t^-2|
ขรุขระ	khr-u-z^-1|khr-a-z^-1|
แตก	t-xx-k^-1|
ริ้ว	r-i-w^-3|
ทำงาน	th-a-m^-0|ng-aa-n^-0|
เหมือง	m-vva-ng^-4|
แร่	r-xx-z^-2|
ตะกั่ว	t-a-z^-1|k-uua-z^-1|
ท่อ	th-@@-z^-2|
ด่วน	d-uua-n^-1|
นอกจากนี้	n-@@-k^-2|c-aa-k^-1|n-ii-z^-3|
นาเปาลมี	n-aa-z^-0|p-a-w^-0|l-a-z^-3|m-ii-z^-0|
แหล่ง	l-xx-ng^-1|
ท่อง	th-@@-ng^-2|
เที่ยว	th-iia-w^-2|
เอเวอร์เรสต์	z-ee-z^-0|w-qq-z^-0|r-ee-s^-3|
เทือก	th-vva-k^-2|
หิมาลัย	h-i-z^-1|m-aa-z^-0|l-a-j^-0|
ที่สุด	th-ii-z^-2|s-u-t^-1|
กรณี	k-@@-z^-0|r-a-z^-3|n-ii-z^-0|
ฟ้อง	f-@@-ng^-3|
ร้องี่	r-@@-z^-3|ng-ii-z^-2|
ผู้ต้องหา	ph-uu-z^-2|t-@@-ng^-2|h-aa-z^-4|
ทักษิณ	th-a-k^-3|s-i-n^-4|
หารือ	h-aa-z^-4|r-vv-z^-0|
ป๋า	p-aa-z^-4|
เปรม	pr-ee-m^-0|
ตาจันทร์	t-aa-z^-0|c-a-n^-0|
ปลง	pl-o-ng^-0|
อด	z-o-t^-1|
แม่	m-xx-z^-2|
แต๋ว	t-xx-w^-4|
โกน	k-oo-n^-0|
ปลีกวิเวก	pl-ii-k^-1|w-i-z^-3|w-ee-k^-2|
ป่า	p-aa-z^-1|
พิตบูล	ph-i-t^-3|b-uu-l^-0|
เซนต์	s-ee-n^-0|
เบอร์นาร์ด	b-qq-z^-0|n-aa-t^-2|
อิง	z-i-ng^-0|
ลิช	l-i-ch^-3|
มัส	m-a-s^-3|
ตีฟ	t-ii-f^-3|
เยอรมัน	j-qq-z^-0|r-a-z^-0|m-a-n^-0|
เชพเพิต	ch-ee-p^-3|ph-qq-t^-1|
บ็อก	b-@-k^-3|
เซอร์	s-qq-z^-2|
บลูด็อก	bl-uu-z^-0|d-@-k^-3|
เจ้าของ	c-a-w^-2|kh-@@-ng^-4|
ฟาร์ม	f-aa-m^-0|
เฟรนด์	fr-ee-n^-0|
ฮุค	h-u-k^-3|
กล้วยไม้	kl-uua-j^-2|m-a-j^-3|
แวะ	w-x-z^-3|
สำลี	s-a-m^-4|l-ii-z^-0|
เคราะห์	khr-@-z^-3|
